Education_Level,Line_Number,Employed,Unemployed,Industry,Gender,Date_Inserted,dense_rank,Max_Salary_USD
High School Diploma,1042,94000,9000,Retail,Male,5/1/2014,402,70000
Master's Degree,994,94000,9000,Professional and Business S.,Male,5/1/2013,402,150000
High School Diploma,802,94000,9000,Agriculture,Male,5/1/2009,402,70000
Associate's Degree,706,94000,9000,Retail,Male,5/1/2007,402,90000
High School Diploma,1038,94000,9000,Agriculture,Male,4/1/2014,402,70000
Master's Degree,990,94000,9000,Professional and Business S.,Male,4/1/2013,402,150000
Master's Degree,943,94000,9000,Manufacturing,Female,4/1/2012,402,150000
Master's Degree,606,94000,9000,Professional and Business S.,Male,4/1/2005,402,150000
Master's Degree,1127,94000,9000,Agriculture,Female,2/1/2016,402,150000
Master's Degree,886,94000,9000,Hospitality,Male,2/1/2011,402,150000
Master's Degree,782,94000,9000,Hospitality,Male,12/1/2008,402,150000
High School Diploma,542,94000,9000,Hospitality,Male,12/1/2003,402,70000
Master's Degree,1257,94000,9000,Retail,Female,11/1/2019,402,150000
High School Diploma,1066,94000,9000,Retail,Male,11/1/2014,402,70000
College,1013,94000,9000,Retail,Female,10/1/2013,402,100000
Bachelor's Degree,978,94000,9000,Professional and Business S.,Male,1/1/2013,402,120000
Master's Degree,930,94000,9000,Professional and Business S.,Male,1/1/2012,402,150000
Bachelor's Degree,1386,3282300,314500,Retail,Female,2/1/1997,403,120000
College,933,11145700,1069600,Health Care,Female,2/1/2012,404,100000
Master's Degree,322,76600,7400,Finance,Male,5/1/1999,405,150000
Master's Degree,980,13941200,1351200,Retail,Male,2/1/2013,406,150000
Bachelor's Degree,981,10963800,1068100,Education,Female,2/1/2013,407,120000
Master's Degree,1251,11148800,1091100,Manufacturing,Female,9/1/2019,408,150000
Master's Degree,1199,11148800,1091100,Education,Female,8/1/2017,408,150000
Master's Degree,1099,11148800,1091100,Energy,Female,7/1/2015,408,150000
Master's Degree,1287,11148800,1091100,Retail,Female,6/1/2020,408,150000
College,1037,11148800,1091100,Professional and Business Services,Female,4/1/2014,408,100000
Master's Degree,1227,11148800,1091100,Manufacturing,Female,3/1/2019,408,150000
High School Diploma,1262,11148800,1091100,Education,Male,12/1/2019,408,70000
Master's Degree,1215,11148800,1091100,Education,Female,12/1/2017,408,150000
Master's Degree,1303,11148800,1091100,Technology,Female,10/1/2020,408,150000
Master's Degree,1267,11148800,1091100,Professional and Business S.,Female,1/1/2020,408,150000
Master's Degree,1123,11148800,1091100,Retail,Female,1/1/2016,408,150000
College,1029,11106900,1088300,Retail,Female,2/1/2014,409,100000
High School Diploma,1033,11114100,1096600,Retail,Female,3/1/2014,410,70000
College,1385,3264900,322600,Financial Services,Male,1/1/1997,411,100000
Bachelor's Degree,709,182000,18000,Technology,Female,6/1/2007,412,120000
Associate's Degree,335,95500,9500,Education,Female,8/1/1999,413,90000
High School Diploma,174,80000,8000,Agriculture,Male,4/1/1996,414,70000
Associate's Degree,393,80000,8000,Retail,Female,11/1/2000,414,90000
Associate's Degree,155,80000,8000,Retail,Female,11/1/1995,414,90000
High School,1056,15984100,1615600,Construction,Male,9/1/2014,415,70000
Bachelor's Degree,952,16012900,1619600,Energy,Male,7/1/2012,416,120000
Associate's Degree,956,16033200,1634400,Energy,Male,8/1/2012,417,90000
College,977,10958400,1117500,Hospitality,Female,1/1/2013,418,100000
College,948,15980600,1633600,Technology,Male,6/1/2012,419,100000
Associate's Degree,405,78000,8000,Retail,Female,2/1/2001,420,90000
Associate's Degree,119,78000,8000,Retail,Female,2/1/1995,420,90000
Bachelor's Degree,113,195000,20000,Healthcare,Female,1/1/1995,420,120000
Associate's Degree,936,15921400,1635300,Energy,Male,3/1/2012,421,90000
Associate's Degree,303,107000,11000,Energy,Female,12/1/1998,422,90000
Bachelor's Degree,388,107000,11000,Finance,Male,10/1/2000,422,120000
Bachelor's Degree,150,107000,11000,Finance,Male,10/1/1995,422,120000
Bachelor's Degree,723,68000,7000,Finance,Female,9/1/2007,423,120000
Master's Degree,1055,68000,7000,Retail,Female,8/1/2014,423,150000
Associate's Degree,911,68000,7000,Hospitality,Female,8/1/2011,423,90000
Associate's Degree,947,68000,7000,Manufacturing,Female,5/1/2012,423,90000
Bachelor's Degree,175,68000,7000,Healthcare,Female,4/1/1996,423,120000
Master's Degree,1175,68000,7000,Energy,Female,2/1/2017,423,150000
High School Diploma,167,68000,7000,Finance,Female,2/1/1996,423,70000
Associate's Degree,544,68000,7000,"Trade, Transportation, Util.",Male,1/1/2004,423,90000
Bachelor's Degree,54,961000,99000,Manufacturing,Male,2/1/2022,424,120000
Bachelor's Degree,116,961000,99000,Manufacturing,Male,2/1/1995,424,120000
Associate's Degree,940,15921500,1640400,Energy,Male,4/1/2012,425,90000
High School,1048,15914400,1646700,Professional and Business Services,Male,7/1/2014,426,70000
High School Diploma,55,589000,61000,Education,Female,2/1/2022,427,70000
High School Diploma,117,589000,61000,Education,Female,2/1/1995,427,70000
Associate's Degree,944,15959200,1657300,Technology,Male,5/1/2012,428,90000
Associate's Degree,381,77000,8000,Wholesale Trade,Female,8/1/2000,429,90000
High School Diploma,1050,13418200,1394900,Professional and Business S.,Male,7/1/2014,430,70000
Bachelor's Degree,903,13418200,1394900,Hospitality,Female,6/1/2011,430,120000
High School Diploma,1138,13418200,1394900,Education,Male,5/1/2016,430,70000
High School Diploma,1090,13418200,1394900,Technology,Male,5/1/2015,430,70000
Associate's Degree,1031,13418200,1394900,Manufacturing,Female,2/1/2014,430,90000
High School Diploma,1070,13418200,1394900,Retail,Male,12/1/2014,430,70000
High School Diploma,1023,13418200,1394900,Hospitality,Female,12/1/2013,430,70000
Associate's Degree,975,13418200,1394900,Energy,Female,12/1/2012,430,90000
Bachelor's Degree,1104,13413800,1396300,Technology,Male,9/1/2015,431,120000
Associate's Degree,976,13876000,1444800,Hospitality,Male,1/1/2013,432,90000
Associate's Degree,323,161200,16800,Education,Female,5/1/1999,433,90000
Associate's Degree,1116,13399500,1401800,Hospitality,Male,12/1/2015,434,90000
Bachelor's Degree,1096,13402800,1403100,Manufacturing,Male,7/1/2015,435,120000
Bachelor's Degree,1108,13395600,1402500,Technology,Male,10/1/2015,436,120000
College,1044,15871900,1662300,Manufacturing,Male,6/1/2014,437,100000
Bachelor's Degree,1100,13398600,1403600,Hospitality,Male,8/1/2015,438,120000
College,885,10993700,1153800,Finance,Female,2/1/2011,439,100000
Bachelor's Degree,318,57000,6000,Manufacturing,Male,4/1/1999,440,120000
High School Diploma,401,57000,6000,Retail,Female,1/1/2001,440,70000
High School Diploma,427,81420,8580,Retail,Female,7/1/2001,441,70000
High School Diploma,459,81420,8580,Wholesale Trade,Female,3/1/2002,441,70000
High School Diploma,411,81420,8580,Healthcare,Female,3/1/2001,441,70000
Bachelor's Degree,905,11024500,1167400,Finance,Female,7/1/2011,442,120000
Master's Degree,1058,1148000,122000,Agriculture,Male,9/1/2014,443,150000
High School Diploma,814,1148000,122000,Agriculture,Male,8/1/2009,443,70000
High School Diploma,1142,1148000,122000,Technology,Male,6/1/2016,443,70000
Bachelor's Degree,66,1148000,122000,Manufacturing,Male,5/1/2022,443,120000
Bachelor's Degree,128,1148000,122000,Manufacturing,Male,5/1/1995,443,120000
Master's Degree,926,1148000,122000,Professional and Business S.,Male,12/1/2011,443,150000
Bachelor's Degree,587,1148000,122000,Professional and Business S.,Female,11/1/2004,443,120000
High School,932,15891000,1692700,Manufacturing,Male,2/1/2012,444,70000
High School Diploma,1250,15804800,1687800,Retail,Male,9/1/2019,445,70000
High School Diploma,1198,15804800,1687800,Retail,Male,8/1/2017,445,70000
High School Diploma,1098,15804800,1687800,Professional and Business S.,Male,7/1/2015,445,70000
Master's Degree,1036,15804800,1687800,Retail,Male,4/1/2014,445,150000
High School Diploma,1226,15804800,1687800,Education,Male,3/1/2019,445,70000
High School Diploma,1214,15804800,1687800,Agriculture,Male,12/1/2017,445,70000
High School Diploma,1302,15804800,1687800,Agriculture,Male,10/1/2020,445,70000
High School Diploma,1266,15804800,1687800,Agriculture,Male,1/1/2020,445,70000
High School Diploma,1122,15804800,1687800,Technology,Male,1/1/2016,445,70000
Bachelor's Degree,881,10912500,1166200,Retail,Female,1/1/2011,446,120000
Master's Degree,476,135500,14500,Finance,Male,8/1/2002,447,150000
Associate's Degree,431,56000,6000,Education,Female,8/1/2001,448,90000
High School Diploma,377,56000,6000,Manufacturing,Female,7/1/2000,448,70000
High School Diploma,447,56000,6000,Finance,Female,12/1/2001,448,70000
High School Diploma,397,56000,6000,Energy,Female,12/1/2000,448,70000
High School Diploma,351,56000,6000,Retail,Female,12/1/1999,448,70000
High School Diploma,973,11250400,1213500,Financial Services,Female,12/1/2012,449,70000
High School,901,11047400,1192800,Finance,Female,6/1/2011,450,70000
Bachelor's Degree,1032,15759400,1703900,Technology,Male,3/1/2014,451,120000
College,897,11042600,1196800,Health Care,Female,5/1/2011,452,100000
Associate's Degree,11,275000,30000,Retail,Female,3/1/2021,453,90000
Associate's Degree,121,275000,30000,Retail,Female,3/1/1995,453,90000
College,969,11233100,1225900,Hospitality,Female,11/1/2012,454,100000
Bachelor's Degree,63,293000,32000,Healthcare,Female,4/1/2022,455,120000
Bachelor's Degree,125,293000,32000,Healthcare,Female,4/1/1995,455,120000
Master's Degree,818,11224400,1227200,Finance,Male,9/1/2009,456,150000
Associate's Degree,530,11224400,1227200,Hospitality,Male,9/1/2003,456,90000
Master's Degree,710,11224400,1227200,Retail,Male,6/1/2007,456,150000
High School Diploma,662,11224400,1227200,Agriculture,Male,6/1/2006,456,70000
Bachelor's Degree,850,11224400,1227200,Professional and Business S.,Male,5/1/2010,456,120000
College,845,11224400,1227200,Information Tech,Female,4/1/2010,456,100000
Master's Degree,654,11224400,1227200,Agriculture,Male,4/1/2006,456,150000
Master's Degree,598,11224400,1227200,Hospitality,Male,2/1/2005,456,150000
Master's Degree,734,11224400,1227200,Retail,Male,12/1/2007,456,150000
High School,965,11224400,1227200,Construction,Female,10/1/2012,456,70000
High School Diploma,726,11224400,1227200,Education,Male,10/1/2007,456,70000
Bachelor's Degree,582,11224400,1227200,Professional and Business S.,Male,10/1/2004,456,120000
Bachelor's Degree,882,11224400,1227200,Professional and Business S.,Male,1/1/2011,456,120000
Master's Degree,690,11224400,1227200,Retail,Male,1/1/2007,456,150000
High School Diploma,389,64000,7000,Agriculture,Female,10/1/2000,457,70000
High School Diploma,151,64000,7000,Agriculture,Female,10/1/1995,457,70000
Bachelor's Degree,1028,15732900,1721000,Technology,Male,2/1/2014,458,120000
High School Diploma,112,712000,78000,Retail,Male,1/1/1995,459,70000
High School Diploma,483,739000,81000,Agriculture,Female,9/1/2002,460,70000
Master's Degree,10,739000,81000,Finance,Male,3/1/2021,460,150000
Master's Degree,120,739000,81000,Finance,Male,3/1/1995,460,150000
Bachelor's Degree,477,85600,9400,Retail,Female,8/1/2002,461,120000
Bachelor's Degree,479,85600,9400,Retail,Female,8/1/2002,461,120000
Bachelor's Degree,473,85600,9400,Retail,Female,7/1/2002,461,120000
High School Diploma,472,198200,21800,Healthcare,Female,7/1/2002,462,70000
Associate's Degree,915,89900,9900,Retail,Female,9/1/2011,463,90000
High School Diploma,1002,89900,9900,Hospitality,Male,7/1/2013,463,70000
Master's Degree,763,89900,9900,Hospitality,Female,7/1/2008,463,150000
High School Diploma,327,153100,16900,Healthcare,Female,6/1/1999,464,70000
High School Diploma,62,788000,87000,Agriculture,Male,4/1/2022,465,70000
High School Diploma,124,788000,87000,Agriculture,Male,4/1/1995,465,70000
College,865,11122700,1230900,Finance,Female,9/1/2010,466,100000
Bachelor's Degree,849,11006400,1219200,Hospitality,Female,5/1/2010,467,120000
Bachelor's Degree,500,130520,14480,Agriculture,Male,2/1/2003,468,120000
High School,889,10925200,1212400,Construction,Female,3/1/2011,469,70000
Bachelor's Degree,80,180000,20000,Energy,Male,9/1/2022,470,120000
High School Diploma,81,94500,10500,Healthcare,Female,9/1/2022,470,70000
Bachelor's Degree,82,126000,14000,Manufacturing,Male,9/1/2022,470,120000
High School Diploma,83,81000,9000,Retail,Female,9/1/2022,470,70000
Bachelor's Degree,34,171000,19000,Energy,Male,9/1/2021,470,120000
High School Diploma,35,90000,10000,Healthcare,Female,9/1/2021,470,70000
College,1152,121500,13500,Hospitality,Male,9/1/2016,470,100000
Bachelor's Degree,1153,81000,9000,Education,Female,9/1/2016,470,120000
Associate's Degree,1059,675000,75000,Technology,Female,9/1/2014,470,90000
Associate's Degree,1011,121500,13500,Technology,Female,9/1/2013,470,90000
Associate's Degree,960,121500,13500,Hospitality,Male,9/1/2012,470,90000
High School,961,81000,9000,Hospitality,Female,9/1/2012,470,70000
High School Diploma,673,81000,9000,Education,Female,9/1/2006,470,70000
Associate's Degree,576,126000,14000,Finance,Male,9/1/2004,470,90000
Bachelor's Degree,577,81000,9000,Hospitality,Female,9/1/2004,470,120000
Associate's Degree,480,112500,12500,Education,Male,9/1/2002,470,90000
High School Diploma,481,72000,8000,Agriculture,Female,9/1/2002,470,70000
Associate's Degree,482,81000,9000,Finance,Male,9/1/2002,470,90000
Bachelor's Degree,432,144000,16000,Agriculture,Male,9/1/2001,470,120000
High School Diploma,433,76500,8500,Healthcare,Female,9/1/2001,470,70000
Bachelor's Degree,386,91800,10200,Education,Male,9/1/2000,470,120000
High School Diploma,387,126900,14100,Energy,Female,9/1/2000,470,70000
Bachelor's Degree,336,171000,19000,Energy,Male,9/1/1999,470,120000
High School Diploma,337,90000,10000,Healthcare,Female,9/1/1999,470,70000
High School Diploma,290,135000,15000,Education,Male,9/1/1998,470,70000
Associate's Degree,291,85500,9500,Energy,Female,9/1/1998,470,90000
High School Diploma,144,99000,11000,Wholesale Trade,Male,9/1/1995,470,70000
Bachelor's Degree,145,72000,8000,Healthcare,Female,9/1/1995,470,120000
Bachelor's Degree,146,126000,14000,Manufacturing,Male,9/1/1995,470,120000
High School Diploma,147,81000,9000,Retail,Female,9/1/1995,470,70000
Master's Degree,76,99000,11000,Finance,Male,8/1/2022,470,150000
Associate's Degree,77,67500,7500,Education,Female,8/1/2022,470,90000
Bachelor's Degree,79,85500,9500,Retail,Female,8/1/2022,470,120000
Master's Degree,28,117000,13000,Retail,Male,8/1/2021,470,150000
Associate's Degree,29,76500,8500,Hospitality,Female,8/1/2021,470,90000
High School Diploma,815,675000,75000,Professional and Business S.,Female,8/1/2009,470,70000
Associate's Degree,572,180000,20000,Hospitality,Male,8/1/2004,470,90000
Bachelor's Degree,573,94500,10500,Energy,Female,8/1/2004,470,120000
Master's Degree,428,103500,11500,Finance,Male,8/1/2001,470,150000
Associate's Degree,429,67500,7500,Education,Female,8/1/2001,470,90000
Master's Degree,332,103500,11500,Finance,Male,8/1/1999,470,150000
Associate's Degree,333,67500,7500,Education,Female,8/1/1999,470,90000
Bachelor's Degree,140,1296000,144000,Manufacturing,Male,8/1/1995,470,120000
High School,141,810000,90000,Retail,Female,8/1/1995,470,70000
Bachelor's Degree,142,180000,20000,Energy,Male,8/1/1995,470,120000
High School Diploma,143,94500,10500,Healthcare,Female,8/1/1995,470,70000
Bachelor's Degree,72,117000,13000,Manufacturing,Male,7/1/2022,470,120000
High School Diploma,73,76500,8500,Healthcare,Female,7/1/2022,470,70000
High School Diploma,74,882000,98000,Agriculture,Male,7/1/2022,470,70000
Bachelor's Degree,75,373500,41500,Healthcare,Female,7/1/2022,470,120000
Bachelor's Degree,24,108000,12000,Tech,Male,7/1/2021,470,120000
High School Diploma,25,90000,10000,Education,Female,7/1/2021,470,70000
High School Diploma,26,882000,98000,Agriculture,Male,7/1/2021,470,70000
Bachelor's Degree,27,373500,41500,Healthcare,Female,7/1/2021,470,120000
Associate's Degree,1192,121500,13500,Technology,Male,7/1/2017,470,90000
Bachelor's Degree,1193,81000,9000,Retail,Female,7/1/2017,470,120000
Master's Degree,906,207000,23000,Professional and Business S.,Male,7/1/2011,470,150000
Associate's Degree,907,108000,12000,Energy,Female,7/1/2011,470,90000
Associate's Degree,760,131400,14600,Technology,Male,7/1/2008,470,90000
Bachelor's Degree,761,188550,20950,Retail,Female,7/1/2008,470,120000
Associate's Degree,664,144000,16000,Energy,Male,7/1/2006,470,90000
Bachelor's Degree,665,76500,8500,Finance,Female,7/1/2006,470,120000
Bachelor's Degree,424,126000,14000,Manufacturing,Male,7/1/2001,470,120000
High School Diploma,425,94500,10500,Retail,Female,7/1/2001,470,70000
Bachelor's Degree,328,126000,14000,Manufacturing,Male,7/1/1999,470,120000
High School Diploma,329,94500,10500,Retail,Female,7/1/1999,470,70000
High School Diploma,136,882000,98000,Agriculture,Male,7/1/1995,470,70000
Bachelor's Degree,137,373500,41500,Healthcare,Female,7/1/1995,470,120000
Bachelor's Degree,138,126000,14000,Manufacturing,Male,7/1/1995,470,120000
High School Diploma,139,94500,10500,Retail,Female,7/1/1995,470,70000
Bachelor's Degree,68,144000,16000,Energy,Male,6/1/2022,470,120000
High School Diploma,69,76500,8500,Retail,Female,6/1/2022,470,70000
Bachelor's Degree,20,153000,17000,Finance,Male,6/1/2021,470,120000
High School Diploma,21,72000,8000,Healthcare,Female,6/1/2021,470,70000
High School,1284,121500,13500,Technology,Male,6/1/2020,470,70000
Bachelor's Degree,1285,81000,9000,Retail,Female,6/1/2020,470,120000
Master's Degree,1143,675000,75000,Retail,Female,6/1/2016,470,150000
High School Diploma,1046,207000,23000,Technology,Male,6/1/2014,470,70000
Master's Degree,1047,108000,12000,Retail,Female,6/1/2014,470,150000
Master's Degree,756,108000,12000,Technology,Male,6/1/2008,470,150000
Associate's Degree,757,186750,20750,Retail,Female,6/1/2008,470,90000
Bachelor's Degree,660,126000,14000,Finance,Male,6/1/2006,470,120000
High School Diploma,661,94500,10500,Hospitality,Female,6/1/2006,470,70000
High School Diploma,614,207000,23000,Energy,Male,6/1/2005,470,70000
High School Diploma,615,108000,12000,Finance,Female,6/1/2005,470,70000
Associate's Degree,468,132300,14700,Finance,Male,6/1/2002,470,90000
High School Diploma,469,79200,8800,Education,Female,6/1/2002,470,70000
Bachelor's Degree,420,171000,19000,Energy,Male,6/1/2001,470,120000
High School Diploma,421,90000,10000,Healthcare,Female,6/1/2001,470,70000
Master's Degree,374,121500,13500,Manufacturing,Male,6/1/2000,470,150000
High School Diploma,375,81000,9000,Retail,Female,6/1/2000,470,70000
Bachelor's Degree,324,144000,16000,Agriculture,Male,6/1/1999,470,120000
High School Diploma,325,76500,8500,Healthcare,Female,6/1/1999,470,70000
Bachelor's Degree,180,144000,16000,Manufacturing,Male,6/1/1996,470,120000
High School Diploma,181,76500,8500,Healthcare,Female,6/1/1996,470,70000
Master's Degree,132,805500,89500,Finance,Male,6/1/1995,470,150000
Associate's Degree,133,364500,40500,Education,Female,6/1/1995,470,90000
Bachelor's Degree,64,103500,11500,Technology,Male,5/1/2022,470,120000
Associate's Degree,65,63000,7000,Education,Female,5/1/2022,470,90000
High School Diploma,67,675000,75000,Retail,Female,5/1/2022,470,70000
Master's Degree,16,99000,11000,Manufacturing,Male,5/1/2021,470,150000
High School Diploma,18,162000,18000,Retail,Male,5/1/2021,470,70000
Bachelor's Degree,19,94500,10500,Manufacturing,Female,5/1/2021,470,120000
Bachelor's Degree,1187,81000,9000,Manufacturing,Female,5/1/2017,470,120000
Bachelor's Degree,1040,121500,13500,Transportation and Utilities,Male,5/1/2014,470,120000
High School,1041,81000,9000,"Trade, Transportation, and Utilities",Female,5/1/2014,470,70000
Bachelor's Degree,752,128700,14300,Hospitality,Male,5/1/2008,470,120000
High School Diploma,753,185400,20600,Finance,Female,5/1/2008,470,70000
Associate's Degree,755,207000,23000,Manufacturing,Female,5/1/2008,470,90000
Bachelor's Degree,704,121500,13500,Manufacturing,Male,5/1/2007,470,120000
High School Diploma,705,81000,9000,Retail,Female,5/1/2007,470,70000
Bachelor's Degree,656,103500,11500,Finance,Male,5/1/2006,470,120000
Associate's Degree,657,67500,7500,Education,Female,5/1/2006,470,90000
High School Diploma,464,162000,18000,Retail,Male,5/1/2002,470,70000
Bachelor's Degree,465,94500,10500,Manufacturing,Female,5/1/2002,470,120000
Master's Degree,416,126000,14000,Finance,Male,5/1/2001,470,150000
Associate's Degree,417,81000,9000,Education,Female,5/1/2001,470,90000
Master's Degree,320,103500,11500,Finance,Male,5/1/1999,470,150000
Associate's Degree,321,67500,7500,Education,Female,5/1/1999,470,90000
Master's Degree,274,121500,13500,Healthcare,Male,5/1/1998,470,150000
High School Diploma,275,85500,9500,Retail,Female,5/1/1998,470,70000
Associate's Degree,176,103500,11500,Retail,Male,5/1/1996,470,90000
High School Diploma,177,67500,7500,Finance,Female,5/1/1996,470,70000
Associate's Degree,178,85500,9500,Retail,Male,5/1/1996,470,90000
Bachelor's Degree,108,171000,19000,Energy,Male,4/1/2023,470,120000
Bachelor's Degree,109,90000,10000,Healthcare,Female,4/1/2023,470,120000
High School Diploma,110,121500,13500,Agriculture,Male,4/1/2023,470,70000
Bachelor's Degree,111,85500,9500,Wholesale Trade,Female,4/1/2023,470,120000
Bachelor's Degree,60,121500,13500,Manufacturing,Male,4/1/2022,470,120000
High School Diploma,61,81000,9000,Healthcare,Female,4/1/2022,470,70000
Bachelor's Degree,12,117000,13000,Hospitality,Male,4/1/2021,470,120000
High School Diploma,13,85500,9500,Agriculture,Female,4/1/2021,470,70000
High School Diploma,14,121500,13500,Agriculture,Male,4/1/2021,470,70000
Bachelor's Degree,15,85500,9500,Healthcare,Female,4/1/2021,470,120000
Bachelor's Degree,1180,108000,12000,Financial Services,Male,4/1/2017,470,120000
Associate's Degree,988,121500,13500,Hospitality,Male,4/1/2013,470,90000
Master's Degree,989,81000,9000,Manufacturing,Female,4/1/2013,470,150000
Bachelor's Degree,748,126900,14100,Energy,Male,4/1/2008,470,120000
Bachelor's Degree,749,182700,20300,Finance,Female,4/1/2008,470,120000
Bachelor's Degree,652,144000,16000,Manufacturing,Male,4/1/2006,470,120000
High School Diploma,653,76500,8500,Retail,Female,4/1/2006,470,70000
Master's Degree,604,121500,13500,Manufacturing,Male,4/1/2005,470,150000
Associate's Degree,605,81000,9000,Healthcare,Female,4/1/2005,470,90000
Master's Degree,460,144900,16100,Healthcare,Male,4/1/2002,470,150000
Bachelor's Degree,461,78300,8700,Agriculture,Female,4/1/2002,470,120000
Bachelor's Degree,412,153000,17000,Manufacturing,Male,4/1/2001,470,120000
High School Diploma,413,115200,12800,Retail,Female,4/1/2001,470,70000
Bachelor's Degree,316,126000,14000,Manufacturing,Male,4/1/1999,470,120000
High School Diploma,317,94500,10500,Retail,Female,4/1/1999,470,70000
High School Diploma,172,121500,13500,Agriculture,Male,4/1/1996,470,70000
Bachelor's Degree,173,85500,9500,Healthcare,Female,4/1/1996,470,120000
Bachelor's Degree,126,126000,14000,Wholesale Trade,Male,4/1/1995,470,120000
High School Diploma,127,94500,10500,Retail,Female,4/1/1995,470,70000
Master's Degree,104,112500,12500,Finance,Male,3/1/2023,470,150000
Associate's Degree,105,67500,7500,Education,Female,3/1/2023,470,90000
Bachelor's Degree,56,162000,18000,Energy,Male,3/1/2022,470,120000
High School Diploma,57,85500,9500,Retail,Female,3/1/2022,470,70000
Bachelor's Degree,58,207000,23000,Agriculture,Male,3/1/2022,470,120000
High School Diploma,59,108000,12000,Healthcare,Female,3/1/2022,470,70000
Bachelor's Degree,8,162000,18000,Energy,Male,3/1/2021,470,120000
High School Diploma,9,81000,9000,Education,Female,3/1/2021,470,70000
Master's Degree,1179,207000,23000,Retail,Female,3/1/2017,470,150000
Master's Degree,986,207000,23000,Professional and Business S.,Male,3/1/2013,470,150000
Associate's Degree,987,108000,12000,Energy,Female,3/1/2013,470,90000
Bachelor's Degree,744,125100,13900,Technology,Male,3/1/2008,470,120000
High School Diploma,745,180900,20100,Retail,Female,3/1/2008,470,70000
Bachelor's Degree,697,63000,7000,Retail,Female,3/1/2007,470,120000
Bachelor's Degree,600,144000,16000,Finance,Male,3/1/2005,470,120000
High School Diploma,601,76500,8500,Hospitality,Female,3/1/2005,470,70000
Bachelor's Degree,504,108000,12000,Wholesale Trade,Male,3/1/2003,470,120000
Associate's Degree,505,112500,12500,Education,Male,3/1/2003,470,90000
Associate's Degree,456,130500,14500,Finance,Male,3/1/2002,470,90000
High School Diploma,457,78300,8700,Education,Female,3/1/2002,470,70000
Bachelor's Degree,408,207000,23000,Wholesale Trade,Male,3/1/2001,470,120000
High School Diploma,409,108000,12000,Healthcare,Female,3/1/2001,470,70000
Bachelor's Degree,313,162000,18000,Energy,Male,3/1/1999,470,120000
Master's Degree,168,135000,15000,Education,Male,3/1/1996,470,150000
High School Diploma,169,63000,7000,Energy,Female,3/1/1996,470,70000
Bachelor's Degree,100,135000,15000,Manufacturing,Male,2/1/2023,470,120000
Associate's Degree,102,108000,12000,Manufacturing,Male,2/1/2023,470,90000
High School Diploma,103,76500,8500,Finance,Female,2/1/2023,470,70000
Master's Degree,52,108000,12000,Finance,Male,2/1/2022,470,150000
Associate's Degree,53,67500,7500,Education,Female,2/1/2022,470,90000
Associate's Degree,5,72000,8000,Healthcare,Female,2/1/2021,470,90000
Bachelor's Degree,6,162000,18000,Energy,Male,2/1/2021,470,120000
High School Diploma,7,85500,9500,Retail,Female,2/1/2021,470,70000
Bachelor's Degree,740,121500,13500,Hospitality,Male,2/1/2008,470,120000
High School Diploma,741,177750,19750,Education,Female,2/1/2008,470,70000
High School Diploma,693,76500,8500,Finance,Female,2/1/2007,470,70000
Master's Degree,596,103500,11500,Energy,Male,2/1/2005,470,150000
Associate's Degree,597,67500,7500,Education,Female,2/1/2005,470,90000
Associate's Degree,501,81000,9000,Healthcare,Female,2/1/2003,470,90000
High School Diploma,452,160200,17800,Manufacturing,Male,2/1/2002,470,70000
Bachelor's Degree,453,92700,10300,Retail,Female,2/1/2002,470,120000
Associate's Degree,164,108000,12000,Manufacturing,Male,2/1/1996,470,90000
High School Diploma,165,76500,8500,Finance,Female,2/1/1996,470,70000
Bachelor's Degree,92,153000,17000,Agriculture,Male,12/1/2022,470,120000
High School Diploma,93,81000,9000,Healthcare,Female,12/1/2022,470,70000
Bachelor's Degree,44,144000,16000,Agriculture,Male,12/1/2021,470,120000
High School Diploma,45,76500,8500,Healthcare,Female,12/1/2021,470,70000
Bachelor's Degree,46,171000,19000,Energy,Male,12/1/2021,470,120000
High School Diploma,47,90000,10000,Healthcare,Female,12/1/2021,470,70000
High School Diploma,1118,207000,23000,Finance,Male,12/1/2015,470,70000
Master's Degree,1119,108000,12000,Professional and Business S.,Female,12/1/2015,470,150000
Master's Degree,1071,207000,23000,Hospitality,Female,12/1/2014,470,150000
Associate's Degree,927,675000,75000,Energy,Female,12/1/2011,470,90000
Bachelor's Degree,780,121500,13500,Finance,Male,12/1/2008,470,120000
High School Diploma,781,81000,9000,Finance,Female,12/1/2008,470,70000
Bachelor's Degree,732,118800,13200,Hospitality,Male,12/1/2007,470,120000
High School Diploma,733,167400,18600,Healthcare,Female,12/1/2007,470,70000
High School Diploma,685,94500,10500,Retail,Female,12/1/2006,470,70000
Associate's Degree,636,117000,13000,Energy,Male,12/1/2005,470,90000
Bachelor's Degree,637,85500,9500,Healthcare,Female,12/1/2005,470,120000
Bachelor's Degree,588,675000,75000,Finance,Male,12/1/2004,470,120000
High School Diploma,589,90000,10000,Hospitality,Female,12/1/2004,470,70000
Associate's Degree,540,121500,13500,Energy,Male,12/1/2003,470,90000
Bachelor's Degree,541,81000,9000,Finance,Female,12/1/2003,470,120000
High School Diploma,492,99000,11000,Education,Male,12/1/2002,470,70000
Bachelor's Degree,493,63000,7000,Healthcare,Female,12/1/2002,470,120000
Associate's Degree,444,126900,14100,Education,Male,12/1/2001,470,90000
High School Diploma,445,81000,9000,Finance,Female,12/1/2001,470,70000
